time_s,voltage_V,current_A
+1.010110E+01,+3.422774E+00,-1.072367E+00
+1.014240E+01,+3.422760E+00,-1.072320E+00
+1.018360E+01,+3.422740E+00,-1.072294E+00
+1.022480E+01,+3.422726E+00,-1.072271E+00
+1.026610E+01,+3.422715E+00,-1.072230E+00
+1.030730E+01,+3.422706E+00,-1.072198E+00
+1.034850E+01,+3.422660E+00,-1.072147E+00
+1.038980E+01,+3.422662E+00,-1.072099E+00
+1.043100E+01,+3.422645E+00,-1.072064E+00
+1.047220E+01,+3.422615E+00,-1.072030E+00
+1.051340E+01,+3.422620E+00,-1.071995E+00
+1.055470E+01,+3.422588E+00,-1.071959E+00
+1.059590E+01,+3.422569E+00,-1.071925E+00
+1.063710E+01,+3.422548E+00,-1.071923E+00
+1.067840E+01,+3.422531E+00,-1.071854E+00
+1.071960E+01,+3.422520E+00,-1.071821E+00
+1.076090E+01,+3.422514E+00,-1.071794E+00
+1.080210E+01,+3.422484E+00,-1.071763E+00
+1.084330E+01,+3.422469E+00,-1.071730E+00
+1.088460E+01,+3.422442E+00,-1.071710E+00
+1.092580E+01,+3.422432E+00,-1.071669E+00
+1.096700E+01,+3.422421E+00,-1.071642E+00
+1.100830E+01,+3.422393E+00,-1.071623E+00
+1.104950E+01,+3.422368E+00,-1.071587E+00
+1.109070E+01,+3.422357E+00,-1.071561E+00
+1.113200E+01,+3.422324E+00,-1.071551E+00
+1.117320E+01,+3.422315E+00,-1.071509E+00
+1.121440E+01,+3.422291E+00,-1.071513E+00
+1.125570E+01,+3.422271E+00,-1.071466E+00
+1.129690E+01,+3.422256E+00,-1.071446E+00
+1.133810E+01,+3.422234E+00,-1.071414E+00
+1.137940E+01,+3.422218E+00,-1.071319E+00
+1.142060E+01,+3.422203E+00,-1.071350E+00
+1.146180E+01,+3.422180E+00,-1.071361E+00
+1.150300E+01,+3.422159E+00,-1.071324E+00
+1.154430E+01,+3.422144E+00,-1.071309E+00
+1.158550E+01,+3.422127E+00,-1.071272E+00
+1.162670E+01,+3.422105E+00,-1.071244E+00
+1.166800E+01,+3.422087E+00,-1.071190E+00
+1.170920E+01,+3.422076E+00,-1.071150E+00
+1.175040E+01,+3.422050E+00,-1.071091E+00
+1.179170E+01,+3.422054E+00,-1.071038E+00
+1.183290E+01,+3.422033E+00,-1.070995E+00
+1.187410E+01,+3.422010E+00,-1.070936E+00
+1.191540E+01,+3.422006E+00,-1.070918E+00
+1.195660E+01,+3.421972E+00,-1.070945E+00
+1.199780E+01,+3.421955E+00,-1.070897E+00
+1.203900E+01,+3.421942E+00,-1.070816E+00
+1.208020E+01,+3.421930E+00,-1.070775E+00
+1.212140E+01,+3.421922E+00,-1.070752E+00
+1.216260E+01,+3.421896E+00,-1.070707E+00
+1.220390E+01,+3.421879E+00,-1.070694E+00
+1.224510E+01,+3.421877E+00,-1.070659E+00
+1.228630E+01,+3.421850E+00,-1.070636E+00
+1.232750E+01,+3.421828E+00,-1.070604E+00
+1.236870E+01,+3.421809E+00,-1.070569E+00
+1.240990E+01,+3.421807E+00,-1.070528E+00
+1.245110E+01,+3.421784E+00,-1.070514E+00
+1.249230E+01,+3.421763E+00,-1.070484E+00
+1.253350E+01,+3.421741E+00,-1.070446E+00
+1.257480E+01,+3.421742E+00,-1.070406E+00
+1.261600E+01,+3.421716E+00,-1.070376E+00
+1.265720E+01,+3.421703E+00,-1.070331E+00
+1.269840E+01,+3.421688E+00,-1.070297E+00
+1.273970E+01,+3.421682E+00,-1.070276E+00
+1.278090E+01,+3.421653E+00,-1.070227E+00
+1.282210E+01,+3.421642E+00,-1.070201E+00
+1.286330E+01,+3.421621E+00,-1.070137E+00
+1.290460E+01,+3.421604E+00,-1.070099E+00
+1.294580E+01,+3.421589E+00,-1.070107E+00
+1.298700E+01,+3.421566E+00,-1.070066E+00
+1.302830E+01,+3.421564E+00,-1.069999E+00
+1.306950E+01,+3.421557E+00,-1.069970E+00
+1.311080E+01,+3.421534E+00,-1.069954E+00
+1.315200E+01,+3.421498E+00,-1.069916E+00
+1.319330E+01,+3.421504E+00,-1.069885E+00
+1.323450E+01,+3.421483E+00,-1.069862E+00
+1.327580E+01,+3.421464E+00,-1.069813E+00
+1.331700E+01,+3.421448E+00,-1.069782E+00
+1.335820E+01,+3.421435E+00,-1.069727E+00
+1.339950E+01,+3.421411E+00,-1.069719E+00
+1.344070E+01,+3.421401E+00,-1.069710E+00
